"","x","y","r","lineage","ONTraC","DPT","monocle3","DPT_l1","monocle3_l1","TSCAN_l1","Slingshot_l1","DPT_l2","monocle3_l2","TSCAN_l2","Slingshot_l2"
"cell304",-170.488049384062,-331.996874565408,373.213209444657,2,0.554579951810811,0.520395216938067,17.7295809609406,NA,NA,NA,NA,0.0151585450838988,5.26568390960442,82,0.955393850342564
"cell305",-371.918478611603,-560.933571859565,673.030331242136,1,0.233653281499898,1.33034061154893,13.6427397450285,1.27170127282304,14.2916323376212,121,12.5548418059795,NA,NA,NA,NA
"cell306",-819.039285400291,-215.820258657344,846.996892010793,2,0.235184206422987,0.199304381471529,8.19213480025061,NA,NA,NA,NA,0.179104946400103,0.00162665080759705,291,5.2076914752937
"cell307",564.250468816832,168.229393763524,588.795143055764,1,0.270764548222601,1.25063466803631,12.9513727045192,1.20381379557169,15.0605878294981,128,12.5730214044006,NA,NA,NA,NA
"cell308",85.8296153737314,84.4529013646481,120.411857489658,1,0.883910642373624,0.0332047358377182,6.67744935607395e-05,0.0176589414131763,1.45855428588214,689,NA,NA,NA,NA,NA
"cell309",388.719081334334,121.746088479046,407.338476274163,2,0.427028663851802,0.331982483521138,11.0185338755446,NA,NA,NA,NA,0.0832721222514214,0.00155271213452446,234,3.07999090567506
"cell310",-84.4451109247117,-42.8664364613731,94.7022076510564,1,0.689985602755509,0.0244214753822791,6.56427224834388e-05,0.031614494315611,0.449811429214247,631,NA,NA,NA,NA,NA
"cell311",-696.30195167396,-91.5597665901474,702.295948132273,1,0.213962068201087,1.93983860312391,15.7410356641368,1.80277963241895,16.3670749590458,82,12.9178714586994,NA,NA,NA,NA
"cell312",-58.6090939297214,-251.890443407436,258.619066140255,1,0.663217004707085,0.0127500152379843,6.45109514061382e-05,0.0193071801833847,0.730614926304431,556,NA,NA,NA,NA,NA
"cell313",235.690843693907,-280.733685522524,366.553646807947,1,0.47941812442322,0.128029449340262,6.34967811730734,0.127337977358534,4.88381527531668,451,6.20330153841879,NA,NA,NA,NA
"cell314",-512.62910129619,6.57412015640199,512.671253876761,2,0.26969267598093,0.465329315475419,18.2787091842038,NA,NA,NA,NA,0.0284679194872849,0.00147877346145187,169,1.42332873422563
"cell315",457.334561024293,627.64660986139,776.592021319933,1,0.172510860566566,0.170215913790612,4.56821341515438,0.181716637635857,7.65016972806575,344,7.05864373029668,NA,NA,NA,NA
"cell316",119.092567731353,-187.198860755162,221.870352135831,1,0.68062927588588,0.0159482062358498,0.170457312829336,0.019950834522591,1.84893769973535,600,NA,NA,NA,NA,NA
"cell317",-371.01430881181,-490.924870356646,615.352618973702,2,0.29183012657568,0.532589453212655,16.8685357976768,NA,NA,NA,NA,0.0187426244309902,4.34986343334298,5,1.66044210742668
"cell318",-121.608942350834,-941.55567893099,949.37654878709,1,0.294659507597145,2.35229783399707,17.0240284776172,2.17004104367926,17.5041661752024,13,13.5623268210272,NA,NA,NA,NA
"cell319",-21.3713955901988,-691.338504201441,691.668753046542,2,0.252335856046918,0.52960134557939,15.7713065054585,NA,NA,NA,NA,0.0198414740518867,3.38309609574032,51,1.21899328698581
"cell320",-198.541915856404,289.997727476167,351.450671209022,2,0.509266028701754,0.519610832220876,16.3968249375006,NA,NA,NA,NA,0.0190578620366202,0.755791781568044,32,0.542890894842545
"cell321",-484.503219687601,451.990139374458,662.599770585075,2,0.207916469923681,0.538976807053248,15.0454540058072,NA,NA,NA,NA,0.025447897225681,3.32287181540173,13,1.00367253681587
"cell322",-27.588423945734,212.3771727142,214.161585317925,2,0.740264751971037,0.494008825262845,16.1345994151383,NA,NA,NA,NA,0.0127165896465662,3.42186350524432,136,1.05746753499403
"cell323",319.082676816069,165.26679374481,359.342271043635,1,0.477748051574213,0.160460182672817,7.11720468060118,0.173742648169597,7.65022827188607,270,7.18642397347209,NA,NA,NA,NA
"cell324",-244.740827379909,-540.304000850053,593.149631982669,2,0.293486776441133,0.498223002923676,18.2787103159749,NA,NA,NA,NA,0.0092912857870717,3.49459675784652,102,1.67277767801618
"cell325",569.303783850069,340.147076533698,663.179336213386,1,0.20632450521483,1.09455979024701,12.9324963069384,1.06449852851103,13.2830345558053,154,11.0237375080369,NA,NA,NA,NA
"cell326",3.9124074433749,6.41599639672759,7.51478155143559,2,0.71597320806082,0.515015849944257,16.8387616119397,NA,NA,NA,NA,0.0139500242097173,1.82936324752261,80,1.2439540469714
"cell327",-322.330461133368,386.500774465888,503.269087901473,1,0.363435868657334,0.141102085286323,7.95020810186209,0.153414342567829,7.65028681570639,402,7.07831620110308,NA,NA,NA,NA
"cell328",677.869931797999,627.070375865442,923.431048169732,2,0.179705618145513,0.529379571974529,16.68596355407,NA,NA,NA,NA,0.0151347404843142,3.62724918059463,66,0.203378618165705
"cell329",-105.142458926181,-93.5166052673595,140.713510828828,1,0.722588667553991,0.0198081935484832,6.33791803288375e-05,0.015416007661947,2.18488524726569,686,NA,NA,NA,NA,NA
"cell330",-54.3794796533322,-428.186311976239,431.62558493581,1,0.407818158077839,0.165536047427023,6.45063088932143,0.170346033750226,8.43898330111758,440,6.41912678400734,NA,NA,NA,NA
"cell331",-360.636935576661,121.679767880773,380.611304631961,1,0.46990718346577,0.167925264627114,6.37211282993628,0.177314351044563,7.65034535952671,374,6.60285964760512,NA,NA,NA,NA
"cell332",196.777571025967,-182.500146106735,268.379797652243,1,0.663733117650187,0.0237253842317096,2.86315487978184,0.0361714103094181,1.75286215239312,532,NA,NA,NA,NA,NA
"cell333",-54.5709835608916,274.622195688677,279.991683111612,1,0.662748736619188,0.0281706604748479,1.29682160342417,0.0411355438771269,1.91723827638809,574,NA,NA,NA,NA,NA
"cell334",567.828954476139,-764.427344594333,952.24938262254,2,0.203754427126184,0.492344320335557,16.0652711156649,NA,NA,NA,NA,0.0109148148845556,3.3229457540748,127,1.44356553413736
"cell335",-381.137325468144,55.3384041902379,385.133742800254,1,0.47774499385339,0.160931151386222,7.95674163974503,0.173467735933961,8.51310536727038,411,7.03517529394991,NA,NA,NA,NA
"cell336",764.287089522443,-138.232268896184,776.687141244706,1,0.187515206365743,0.167526202116908,6.70254053947853,0.174611184286136,7.65040390334702,287,6.64216934948124,NA,NA,NA,NA
"cell337",339.315243430067,-503.688456554555,607.319434639066,2,0.303796135291921,0.524791730751756,14.2651067522434,NA,NA,NA,NA,0.0195563224713823,1.7711514234475,56,1.50823824400258
"cell338",-217.41516502491,-73.4602902384173,229.490235575986,1,0.633449920028437,0.0229227362997632,2.82237495549078,0.0346688063891814,1.75292069621344,560,NA,NA,NA,NA,NA
"cell339",-64.6244678053087,-118.357411891677,134.851024426273,1,0.730525859022612,0.0109672749218763,6.22474092515368e-05,0.009943845682406,0.382058516648644,593,NA,NA,NA,NA,NA
"cell340",-117.525124690202,62.5923960916896,133.153907122346,1,0.829355767621785,0.00532511753129835,6.11156381742362e-05,0.0146665900205678,0.466707242130002,594,NA,NA,NA,NA,NA
"cell341",-338.419202671749,-802.697087151828,871.120066614822,2,0.170142985847099,0.523014663530449,16.0947514895325,NA,NA,NA,NA,0.0251886113526596,1.82549228868973,62,1.63902388034621
"cell342",-424.783756016091,-180.3019201861,461.465081883703,1,0.37359752593408,0.173765656475991,8.94547589832463,0.191566742068476,8.82893031687269,366,7.70581749443461,NA,NA,NA,NA
"cell343",-207.818966802032,297.356719700234,362.780569647201,1,0.492175809152463,0.158290572130083,6.1121290116185,0.167829345362757,7.65046244716734,396,6.68301021540356,NA,NA,NA,NA
"cell344",-7.5065396268887,-111.101138700997,111.35443932699,1,0.71933324070551,0.0133594256375029,5.99838670969355e-05,0.0237066819199853,0.317256283524345,597,NA,NA,NA,NA,NA
"cell345",586.144562113732,-319.470288233799,667.552779006787,1,0.193816500568944,0.578204780527501,12.2190637675865,0.603697911871588,11.9611993135183,193,10.6237065736792,NA,NA,NA,NA
"cell346",-183.878040868304,-124.896293388435,222.284093033522,2,0.697827775272912,0.54097188865267,15.0488775445317,NA,NA,NA,NA,0.0267722994019419,1.85366951736294,15,0.637513973631468
"cell347",358.63301849991,123.084178761067,379.166661271324,1,0.454813402200419,0.17934039760041,5.93892108798547,0.191404009969462,7.65052099098766,322,6.75860566487276,NA,NA,NA,NA
"cell348",-73.0242317303561,298.28984441597,307.098306249827,2,0.614926517793601,0.501230593833128,16.4108205767159,NA,NA,NA,NA,0.0114853229648499,3.32301969274787,103,0.912188581458842
"cell349",-191.584992602604,-14.441286089467,192.128499016824,1,0.614437242321868,0.0191019283849604,0.330122849611243,0.0238890834259063,1.97987113452998,667,NA,NA,NA,NA,NA
"cell350",-518.506055063225,420.690446771844,667.704261737426,1,0.203794949454283,0.377240122508355,11.1757407734412,0.410956893477253,12.064740597661,217,9.31261108006867,NA,NA,NA,NA
"cell351",-905.174921696852,-221.964454771166,931.992413086481,1,0.218935469032268,2.44467999276251,16.2821619685861,2.25523242692796,16.8795174016788,1,14.5169074717679,NA,NA,NA,NA
"cell352",-808.790138124237,264.505154195606,850.943279028082,1,0.209653049719301,0.213105803220237,8.57544091812421,0.234943855100834,8.53339286684516,212,8.02994641341757,NA,NA,NA,NA
