Cell_ID,Sample,Cell_Type,x,y
E12_E1S3_102468,E12_E1S3,NeuB,16225,18645
E12_E1S3_102469,E12_E1S3,Fibro,16246,18897
E12_E1S3_102475,E12_E1S3,Fibro,16249,18767
E12_E1S3_102483,E12_E1S3,NeuB,16245,18586
E12_E1S3_102512,E12_E1S3,RGC,16248,18465
E12_E1S3_102525,E12_E1S3,GluNeuB,16260,18718
E12_E1S3_102543,E12_E1S3,RGC,16262,18397
E12_E1S3_102552,E12_E1S3,GluNeu,16251,18155
E12_E1S3_102553,E12_E1S3,GluNeuB,16257,18745
E12_E1S3_102573,E12_E1S3,RGC,16259,18447
E12_E1S3_102596,E12_E1S3,RGC,16263,18308
E12_E1S3_102597,E12_E1S3,Fibro,16262,18801
E12_E1S3_102608,E12_E1S3,RGC,16258,18549
E12_E1S3_102621,E12_E1S3,NeuB,16266,18597
E12_E1S3_102626,E12_E1S3,RGC,16270,18650
E12_E1S3_102634,E12_E1S3,RGC,16273,18355
E12_E1S3_102646,E12_E1S3,NeuB,16269,18328
E12_E1S3_102647,E12_E1S3,RGC,16270,18481
E12_E1S3_102655,E12_E1S3,RGC,16274,18573
E12_E1S3_102682,E12_E1S3,RGC,16278,18622
E12_E1S3_102694,E12_E1S3,RGC,16272,18765
E12_E1S3_102695,E12_E1S3,Fibro,16270,18893
E12_E1S3_102709,E12_E1S3,NeuB,16278,18517
E12_E1S3_102710,E12_E1S3,Basal,16276,18740
E12_E1S3_102722,E12_E1S3,RGC,16287,18723
E12_E1S3_102730,E12_E1S3,NeuB,16279,18385
E12_E1S3_102738,E12_E1S3,NeuB,16273,18702
E12_E1S3_102747,E12_E1S3,RGC,16283,18127
E12_E1S3_102748,E12_E1S3,GluNeu,16280,18193
E12_E1S3_102766,E12_E1S3,RGC,16280,18683
E12_E1S3_102775,E12_E1S3,GABA,16287,18110
E12_E1S3_102780,E12_E1S3,RGC,16289,18540
E12_E1S3_102791,E12_E1S3,RGC,16289,18251
E12_E1S3_102792,E12_E1S3,RGC,16266,18275
E12_E1S3_102802,E12_E1S3,RGC,16287,18312
E12_E1S3_102824,E12_E1S3,Endo,16287,18810
E12_E1S3_102832,E12_E1S3,GlioB,16290,18656
E12_E1S3_102842,E12_E1S3,GlioB,16289,18468
E12_E1S3_102848,E12_E1S3,RGC,16293,18386
E12_E1S3_102849,E12_E1S3,GABA,16289,18772
E12_E1S3_102850,E12_E1S3,Endo,16293.5,18871
E12_E1S3_102851,E12_E1S3,Fibro,16290,18891
E12_E1S3_102859,E12_E1S3,Endo,16296,18832.5
E12_E1S3_102887,E12_E1S3,NeuB,16294,18510
E12_E1S3_102888,E12_E1S3,NeuB,16291,18597
E12_E1S3_102889,E12_E1S3,GlioB,16298,18672
E12_E1S3_102894,E12_E1S3,RGC,16306,18221
E12_E1S3_102895,E12_E1S3,GluNeuB,16295,18364
E12_E1S3_102905,E12_E1S3,RGC,16298,18740
E12_E1S3_102910,E12_E1S3,GlioB,16298,18434
E12_E1S3_102929,E12_E1S3,RGC,16305,18265
E12_E1S3_102930,E12_E1S3,RGC,16303,18287
E12_E1S3_102956,E12_E1S3,GlioB,16304,18693
E12_E1S3_102965,E12_E1S3,RGC,16307,18724
E12_E1S3_102972,E12_E1S3,GluNeu,16306,18111
E12_E1S3_102973,E12_E1S3,RGC,16315,18247
E12_E1S3_102974,E12_E1S3,Fibro,16301,18903
