Cell_ID,x,y
E16_E2S6_1540,3829.0,2958.0
E16_E2S6_1542,3841.0,3331.0
E16_E2S6_1543,3833.0,3258.0
E16_E2S6_1544,3834.0,3038.0
E16_E2S6_1545,3821.0,2913.0
E16_E2S6_1546,3835.0,2891.0
E16_E2S6_1548,3827.0,2871.0
E16_E2S6_1549,3836.0,1479.0
E16_E2S6_1556,3841.0,3109.0
E16_E2S6_1557,3826.0,1236.0
E16_E2S6_1558,3833.0,3537.0
E16_E2S6_1560,3831.0,2485.0
E16_E2S6_1561,3832.0,2427.0
E16_E2S6_1562,3832.0,2115.0
E16_E2S6_1565,3827.0,3354.0
E16_E2S6_1567,3837.0,2832.0
E16_E2S6_1568,3831.0,2304.0
E16_E2S6_1569,3832.0,1988.0
E16_E2S6_1570,3825.0,1148.0
E16_E2S6_1573,3824.0,3581.0
E16_E2S6_1574,3831.0,3441.0
E16_E2S6_1575,3825.0,1736.0
E16_E2S6_1577,3827.0,3283.0
E16_E2S6_1578,3827.0,3163.0
E16_E2S6_1579,3825.0,3137.0
E16_E2S6_1580,3832.0,3016.0
E16_E2S6_1582,3823.0,1929.0
E16_E2S6_1583,3826.0,1831.0
E16_E2S6_1584,3826.0,1710.0
E16_E2S6_1590,3824.0,2991.0
E16_E2S6_1591,3826.0,1967.0
E16_E2S6_1594,3827.0,3719.0
E16_E2S6_1595,3823.0,3240.0
E16_E2S6_1596,3824.0,1891.0
E16_E2S6_1597,3831.0,1787.0
E16_E2S6_1598,3823.0,1525.0
E16_E2S6_1602,3823.0,2522.0
E16_E2S6_1603,3819.0,2442.0
E16_E2S6_1604,3820.0,1401.5
E16_E2S6_1608,3820.0,2159.0
E16_E2S6_1612,3810.0,2494.0
E16_E2S6_1614,3819.0,3411.0
E16_E2S6_1618,3818.0,2075.0
E16_E2S6_1620,3807.0,2359.0
E16_E2S6_1621,3818.0,1093.0
E16_E2S6_1623,3813.0,2329.0
E16_E2S6_1624,3815.0,1753.5
E16_E2S6_1625,3810.0,1601.0
E16_E2S6_1629,3810.0,2391.0
E16_E2S6_1630,3814.0,1857.0
E16_E2S6_1633,3820.0,3314.0
E16_E2S6_1634,3811.0,2265.0
E16_E2S6_1638,3807.0,2560.0
E16_E2S6_1639,3810.0,2061.0
E16_E2S6_1640,3812.0,1991.0
E16_E2S6_1641,3810.0,1427.0
E16_E2S6_1642,3802.0,1395.0
E16_E2S6_1643,3814.0,3456.0
E16_E2S6_1644,3808.0,3213.0
E16_E2S6_1645,3809.0,2195.0
E16_E2S6_1646,3811.0,1641.0
E16_E2S6_1650,3809.0,3134.0
E16_E2S6_1651,3809.0,2247.0
E16_E2S6_1653,3811.0,3184.0
E16_E2S6_1654,3806.0,1357.0
E16_E2S6_1656,3809.0,1817.0
E16_E2S6_1657,3806.0,3480.0
E16_E2S6_1658,3806.0,3370.0
E16_E2S6_1659,3807.0,3346.0
E16_E2S6_1660,3807.0,3097.0
E16_E2S6_1661,3805.0,2292.0
E16_E2S6_1662,3806.0,2143.0
E16_E2S6_1663,3797.0,1717.0
E16_E2S6_1664,3809.0,1689.0
E16_E2S6_1666,3796.0,2950.0
E16_E2S6_1667,3805.0,2790.0
E16_E2S6_1669,3802.0,1578.0
E16_E2S6_1670,3806.0,3753.0
E16_E2S6_1671,3804.0,2833.0
E16_E2S6_1672,3802.0,2215.0
E16_E2S6_1674,3807.0,3070.0
E16_E2S6_1675,3805.0,1407.0
E16_E2S6_1676,3806.0,1074.0
E16_E2S6_1683,3802.0,1230.0
E16_E2S6_1685,3803.0,3582.0
E16_E2S6_1686,3802.0,2111.0
E16_E2S6_1687,3801.0,1735.0
E16_E2S6_1689,3796.0,2166.0
E16_E2S6_1690,3800.0,2032.0
E16_E2S6_1691,3813.0,2012.0
E16_E2S6_1694,3803.0,1505.0
E16_E2S6_1698,3801.5,3331.0
E16_E2S6_1700,3797.0,2848.0
E16_E2S6_1701,3800.0,2412.0
E16_E2S6_1702,3795.0,1893.0
E16_E2S6_1705,3793.5,3426.0
E16_E2S6_1706,3801.0,2973.0
E16_E2S6_1707,3798.0,2809.0
E16_E2S6_1708,3783.0,1558.0
E16_E2S6_1709,3799.0,1458.0
E16_E2S6_1713,3797.0,2904.0
E16_E2S6_1716,3793.0,1996.0
E16_E2S6_1720,3796.0,3457.0
E16_E2S6_1721,3793.0,3310.0
E16_E2S6_1722,3795.0,3005.0
E16_E2S6_1724,3791.0,2547.0
E16_E2S6_1725,3796.0,1914.0
E16_E2S6_1726,3799.0,1667.0
E16_E2S6_1727,3792.0,1618.0
E16_E2S6_1729,3795.0,1647.0
E16_E2S6_1734,3782.0,3482.0
E16_E2S6_1735,3791.0,2504.0
E16_E2S6_1736,3787.0,2062.0
E16_E2S6_1738,3793.0,3781.0
E16_E2S6_1739,3786.0,2464.0
E16_E2S6_1741,3790.0,1330.0
E16_E2S6_1743,3791.0,3044.0
E16_E2S6_1744,3799.0,2441.0
E16_E2S6_1745,3789.0,2308.0
E16_E2S6_1746,3789.0,1090.0
E16_E2S6_1747,3794.0,3225.0
E16_E2S6_1748,3787.5,2384.0
E16_E2S6_1749,3785.0,2149.0
E16_E2S6_1750,3796.0,1534.0
E16_E2S6_1753,3787.0,2771.0
E16_E2S6_1755,3792.0,3120.0
E16_E2S6_1756,3786.0,2628.5
E16_E2S6_1757,3786.0,1816.0
E16_E2S6_1758,3787.0,1515.0
E16_E2S6_1759,3783.0,1063.0
E16_E2S6_1763,3787.0,3161.0
E16_E2S6_1764,3784.0,2233.0
E16_E2S6_1765,3786.0,2200.0
E16_E2S6_1766,3790.0,1434.0
E16_E2S6_1767,3788.5,1127.0
E16_E2S6_1771,3786.0,3384.0
E16_E2S6_1772,3782.0,3201.0
E16_E2S6_1773,3783.0,2755.0
E16_E2S6_1774,3781.0,2587.0
E16_E2S6_1780,3785.0,3352.0
E16_E2S6_1781,3782.0,3070.0
E16_E2S6_1782,3779.0,1305.0
E16_E2S6_1783,3782.0,3406.0
E16_E2S6_1784,3772.0,2852.0
E16_E2S6_1785,3788.0,2338.0
E16_E2S6_1786,3782.0,1473.0
E16_E2S6_1787,3782.0,1178.0
E16_E2S6_1790,3776.0,3019.0
E16_E2S6_1791,3786.0,2890.0
E16_E2S6_1794,3779.0,1877.0
E16_E2S6_1795,3776.0,1497.0
E16_E2S6_1800,3777.0,3812.0
E16_E2S6_1801,3783.0,3572.0
E16_E2S6_1802,3775.0,3273.0
E16_E2S6_1803,3776.0,2610.0
E16_E2S6_1804,3780.0,2418.0
E16_E2S6_1805,3776.0,2123.0
E16_E2S6_1806,3778.0,1363.0
E16_E2S6_1807,3781.5,1201.0
E16_E2S6_1811,3782.0,1832.0
E16_E2S6_1812,3776.0,1582.0
E16_E2S6_1813,3777.0,1450.0
E16_E2S6_1816,3776.0,2876.0
E16_E2S6_1817,3775.0,2549.0
E16_E2S6_1818,3774.0,2028.0
E16_E2S6_1822,3783.0,3247.0
E16_E2S6_1824,3775.0,2355.0
E16_E2S6_1825,3776.0,2304.0
E16_E2S6_1828,3774.0,2659.0
E16_E2S6_1829,3772.0,2509.0
E16_E2S6_1830,3771.0,2083.0
E16_E2S6_1832,3775.0,3367.0
E16_E2S6_1833,3776.0,1856.0
E16_E2S6_1837,3769.0,3627.0
E16_E2S6_1838,3774.0,2806.0
E16_E2S6_1839,3774.0,2177.0
E16_E2S6_1840,3777.0,1935.0
E16_E2S6_1841,3772.0,996.0
E16_E2S6_1845,3765.0,3178.0
E16_E2S6_1846,3763.0,3121.0
E16_E2S6_1848,3775.0,2694.0
E16_E2S6_1850,3768.0,1892.0
E16_E2S6_1852,3764.0,2944.0
E16_E2S6_1853,3768.0,2707.0
E16_E2S6_1854,3769.0,2143.0
E16_E2S6_1857,3768.0,3427.0
